recency,history,history_segment,zip_code,channel,newbie,segment,T,visit,conversion,spend,true_tau_mens_visit,true_tau_womens_visit,true_tau_mens_spend,true_tau_womens_spend
7,430.6893443210027,4) $350 - $500,Suburban,Phone,0,Mens E-Mail,1,0,0,8.97080941347221,0.05,0.03,1.5,1.0
4,277.51963959857886,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,7.273722079555507,0.05,0.03,1.5,1.0
9,307.140938436062,3) $200 - $350,Rural,Phone,0,Womens E-Mail,2,1,0,7.837765897705171,0.05,0.03,1.5,1.0
3,188.00797521466242,2) $100 - $200,Rural,Web,1,Mens E-Mail,1,1,0,5.102817693790318,0.05,0.03,1.5,1.0
5,354.0669711589218,4) $350 - $500,Suburban,Phone,0,Womens E-Mail,2,0,0,5.921321939181934,0.05,0.03,1.5,1.0
3,284.40718398020704,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,0,0,4.846058316062122,0.05,0.03,1.5,1.0
7,250.48349349462188,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,5.574001990811786,0.05,0.03,1.5,1.0
5,338.4800231317274,3) $200 - $350,Urban,Phone,0,Mens E-Mail,1,0,0,5.030861784035738,0.05,0.03,1.5,1.0
9,312.719000086465,3) $200 - $350,Rural,Web,1,Mens E-Mail,1,0,0,6.993047806832866,0.05,0.03,1.5,1.0
7,173.03948008258294,2) $100 - $200,Suburban,Phone,0,Womens E-Mail,2,0,0,3.2571074414818333,0.05,0.03,1.5,1.0
2,434.9304479743798,4) $350 - $500,Urban,Web,1,Womens E-Mail,2,0,0,6.516933930740352,0.05,0.03,1.5,1.0
4,447.78371806860787,4) $350 - $500,Rural,Web,1,Womens E-Mail,2,0,0,8.39371611950383,0.05,0.03,1.5,1.0
9,197.86983581783508,2) $100 - $200,Suburban,Web,0,Womens E-Mail,2,0,0,5.477571140904235,0.05,0.03,1.5,1.0
12,778.9176805495231,6) $750+,Suburban,Web,1,Womens E-Mail,2,1,0,11.760056004158226,0.05,0.03,1.5,1.0
2,158.27100994642615,2) $100 - $200,Rural,Web,0,Mens E-Mail,1,0,0,3.01349631551115,0.05,0.03,1.5,1.0
10,392.36913014845436,4) $350 - $500,Suburban,Web,0,Mens E-Mail,1,0,0,9.472868953736779,0.05,0.03,1.5,1.0
9,384.39426919847506,4) $350 - $500,Suburban,Web,1,Womens E-Mail,2,0,0,6.739220258149404,0.05,0.03,1.5,1.0
10,408.04201076674997,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,1,0,7.683759497692201,0.05,0.03,1.5,1.0
5,556.3852025396615,5) $500 - $750,Suburban,Phone,0,Mens E-Mail,1,0,0,9.532425133339968,0.05,0.03,1.5,1.0
2,258.9110318049576,3) $200 - $350,Suburban,Phone,0,Mens E-Mail,1,1,0,5.564405450716106,0.05,0.03,1.5,1.0
4,306.36396384438194,3) $200 - $350,Suburban,Phone,0,Mens E-Mail,1,0,0,6.009120828795795,0.05,0.03,1.5,1.0
12,363.70955863859274,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,0,0,8.240541475706593,0.05,0.03,1.5,1.0
12,47.43032753469924,1) $0 - $100,Suburban,Web,0,Womens E-Mail,2,0,0,5.9023440476403755,0.05,0.03,1.5,1.0
7,320.33913818841,3) $200 - $350,Rural,Web,0,Womens E-Mail,2,0,0,8.213835577138328,0.05,0.03,1.5,1.0
12,360.1196504943843,4) $350 - $500,Urban,Web,1,Mens E-Mail,1,0,0,6.613933913610786,0.05,0.03,1.5,1.0
8,193.7217316559497,2) $100 - $200,Urban,Phone,0,Womens E-Mail,2,0,0,5.074953446162077,0.05,0.03,1.5,1.0
3,627.4775787053429,5) $500 - $750,Suburban,Web,0,Mens E-Mail,1,0,0,7.512830307907185,0.05,0.03,1.5,1.0
1,339.26648165792443,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,0,0,4.553782382410793,0.05,0.03,1.5,1.0
4,189.44100767584195,2) $100 - $200,Suburban,Phone,0,Mens E-Mail,1,0,0,4.682320977392866,0.05,0.03,1.5,1.0
2,214.22466542938358,3) $200 - $350,Urban,Web,0,Womens E-Mail,2,0,0,2.256685513586117,0.05,0.03,1.5,1.0
8,181.38851602176962,2) $100 - $200,Rural,Web,0,Womens E-Mail,2,0,0,6.213922580900787,0.05,0.03,1.5,1.0
4,186.46631487919188,2) $100 - $200,Suburban,Web,0,Womens E-Mail,2,0,0,3.6624168949891116,0.05,0.03,1.5,1.0
2,350.66664687781554,4) $350 - $500,Suburban,Web,1,Womens E-Mail,2,0,0,5.5565286331266766,0.05,0.03,1.5,1.0
6,364.2726865620851,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,0,0,5.774141709110462,0.05,0.03,1.5,1.0
6,367.6206077874505,4) $350 - $500,Suburban,Web,0,Womens E-Mail,2,0,0,6.082135568722365,0.05,0.03,1.5,1.0
10,401.55426952812206,4) $350 - $500,Suburban,Web,0,Mens E-Mail,1,0,0,9.409841302847658,0.05,0.03,1.5,1.0
4,363.40729585659375,4) $350 - $500,Rural,Web,0,Womens E-Mail,2,0,0,3.8986489093413637,0.05,0.03,1.5,1.0
6,626.5378136094974,5) $500 - $750,Suburban,Web,0,Mens E-Mail,1,0,0,10.775424964044966,0.05,0.03,1.5,1.0
2,435.8518054808566,4) $350 - $500,Rural,Web,1,Mens E-Mail,1,0,0,6.191957310398875,0.05,0.03,1.5,1.0
10,144.86142166545312,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,5.410044814277564,0.05,0.03,1.5,1.0
12,305.1517393174478,3) $200 - $350,Urban,Web,1,Womens E-Mail,2,0,0,8.253309669362062,0.05,0.03,1.5,1.0
2,130.7449229984173,2) $100 - $200,Urban,Web,1,Womens E-Mail,2,0,0,2.7943509010237673,0.05,0.03,1.5,1.0
10,303.2963945598632,3) $200 - $350,Suburban,Phone,0,Mens E-Mail,1,0,0,9.641732373833213,0.05,0.03,1.5,1.0
4,88.94090191897807,1) $0 - $100,Rural,Web,0,Womens E-Mail,2,0,0,3.47527990778496,0.05,0.03,1.5,1.0
8,264.9454715307341,3) $200 - $350,Urban,Web,0,Womens E-Mail,2,0,0,5.566885668655778,0.05,0.03,1.5,1.0
7,283.8204937831136,3) $200 - $350,Rural,Web,0,Womens E-Mail,2,0,0,4.821798258564105,0.05,0.03,1.5,1.0
12,98.33091102074387,1) $0 - $100,Urban,Phone,0,Mens E-Mail,1,0,0,6.073404672411508,0.05,0.03,1.5,1.0
9,302.35092477584004,3) $200 - $350,Suburban,Phone,0,Womens E-Mail,2,0,0,6.0030448724566225,0.05,0.03,1.5,1.0
8,244.00512685985206,3) $200 - $350,Suburban,Phone,0,Mens E-Mail,1,0,0,5.607407404099967,0.05,0.03,1.5,1.0
5,135.9170816876866,2) $100 - $200,Urban,Phone,0,Womens E-Mail,2,0,0,5.461756692888803,0.05,0.03,1.5,1.0
2,438.4030120041524,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,0,0,6.204205524430838,0.05,0.03,1.5,1.0
5,247.8711987305895,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,0,0,4.852372552640368,0.05,0.03,1.5,1.0
8,468.86406345574267,4) $350 - $500,Suburban,Phone,1,Womens E-Mail,2,0,0,8.036364702880531,0.05,0.03,1.5,1.0
10,330.78362384535063,3) $200 - $350,Urban,Web,0,Mens E-Mail,1,0,0,6.30402702878092,0.05,0.03,1.5,1.0
9,241.3805502098505,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,5.427998014782119,0.05,0.03,1.5,1.0
12,154.91387748955188,2) $100 - $200,Rural,Web,0,Mens E-Mail,1,0,0,6.936937070060236,0.05,0.03,1.5,1.0
12,123.96135977822043,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,5.178776378551765,0.05,0.03,1.5,1.0
12,328.07996204925337,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,1,0,8.722018280132339,0.05,0.03,1.5,1.0
9,354.6748958532776,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,0,0,8.411830873802616,0.05,0.03,1.5,1.0
1,174.0040904963929,2) $100 - $200,Rural,Web,0,Mens E-Mail,1,0,0,1.8312994970870498,0.05,0.03,1.5,1.0
9,118.74063930972851,2) $100 - $200,Urban,Web,0,Womens E-Mail,2,1,0,5.056733505338678,0.05,0.03,1.5,1.0
7,404.8890576191216,4) $350 - $500,Rural,Web,0,Womens E-Mail,2,0,0,6.655228746251041,0.05,0.03,1.5,1.0
9,411.55645348928266,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,0,0,7.611867246136841,0.05,0.03,1.5,1.0
8,175.9761586486192,2) $100 - $200,Suburban,Web,0,Womens E-Mail,2,0,0,4.9679000238484035,0.05,0.03,1.5,1.0
1,272.2995464675488,3) $200 - $350,Urban,Web,0,Womens E-Mail,2,0,0,3.4217389340175535,0.05,0.03,1.5,1.0
12,377.5278859378413,4) $350 - $500,Suburban,Web,0,Womens E-Mail,2,0,0,8.633438191131429,0.05,0.03,1.5,1.0
8,134.68564480296942,2) $100 - $200,Suburban,Phone,0,Mens E-Mail,1,1,0,4.9116921417832184,0.05,0.03,1.5,1.0
8,168.4894823739443,2) $100 - $200,Rural,Web,0,Mens E-Mail,1,0,0,3.729089086829935,0.05,0.03,1.5,1.0
11,422.7190920688422,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,0,0,10.124087270053087,0.05,0.03,1.5,1.0
3,166.34044297208354,2) $100 - $200,Suburban,Phone,0,Womens E-Mail,2,0,0,3.656243996422509,0.05,0.03,1.5,1.0
1,310.33810372086845,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,0,0,4.612777471389506,0.05,0.03,1.5,1.0
8,314.7413137428281,3) $200 - $350,Urban,Web,0,Mens E-Mail,1,1,0,6.65433729860992,0.05,0.03,1.5,1.0
3,120.39902207991263,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,3.7306552930173087,0.05,0.03,1.5,1.0
3,447.33133186749546,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,0,0,7.474921375454269,0.05,0.03,1.5,1.0
1,66.21559540322436,1) $0 - $100,Suburban,Web,1,Womens E-Mail,2,1,0,2.603481155259507,0.05,0.03,1.5,1.0
11,341.74128461102595,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,0,0,6.739861381819512,0.05,0.03,1.5,1.0
5,231.09386118340507,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,5.8627884412045095,0.05,0.03,1.5,1.0
10,315.4929864011281,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,7.920386065191533,0.05,0.03,1.5,1.0
7,264.7970677353352,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,0,0,7.101039634773145,0.05,0.03,1.5,1.0
10,130.2381303650621,2) $100 - $200,Suburban,Phone,0,Womens E-Mail,2,0,1,7.21804950014342,0.05,0.03,1.5,1.0
9,255.09944110608973,3) $200 - $350,Rural,Web,0,Womens E-Mail,2,1,0,6.532671020848959,0.05,0.03,1.5,1.0
12,371.644896387137,4) $350 - $500,Rural,Web,0,Womens E-Mail,2,0,0,9.353648979790107,0.05,0.03,1.5,1.0
7,263.59771985554414,3) $200 - $350,Suburban,Phone,1,Mens E-Mail,1,1,0,5.773542478549285,0.05,0.03,1.5,1.0
9,228.52874647411423,3) $200 - $350,Rural,Phone,0,Womens E-Mail,2,0,0,6.430163298294786,0.05,0.03,1.5,1.0
8,2.4796120154484735,1) $0 - $100,Rural,Web,0,Womens E-Mail,2,0,0,2.4916527835692652,0.05,0.03,1.5,1.0
12,166.679166576576,2) $100 - $200,Urban,Web,0,Mens E-Mail,1,0,1,5.744982394058872,0.05,0.03,1.5,1.0
2,188.80168843274518,2) $100 - $200,Suburban,Web,1,Mens E-Mail,1,0,0,4.89594128971879,0.05,0.03,1.5,1.0
1,425.7318793540156,4) $350 - $500,Rural,Web,0,Womens E-Mail,2,0,0,4.754806471969953,0.05,0.03,1.5,1.0
7,241.80559949306715,3) $200 - $350,Urban,Web,1,Mens E-Mail,1,0,0,7.6304020995639155,0.05,0.03,1.5,1.0
7,376.06884408927385,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,1,0,7.704836896858365,0.05,0.03,1.5,1.0
8,183.4351594144222,2) $100 - $200,Suburban,Web,1,Womens E-Mail,2,0,0,4.446536121809379,0.05,0.03,1.5,1.0
5,9.660626357373303,1) $0 - $100,Urban,Web,1,Womens E-Mail,2,0,0,1.309154224485021,0.05,0.03,1.5,1.0
3,447.501311015619,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,0,0,4.732613551890814,0.05,0.03,1.5,1.0
12,184.38886110922533,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,8.17554271768928,0.05,0.03,1.5,1.0
8,439.9550894086108,4) $350 - $500,Suburban,Web,0,Womens E-Mail,2,0,0,8.870593286704334,0.05,0.03,1.5,1.0
6,267.29073621804724,3) $200 - $350,Urban,Phone,0,Mens E-Mail,1,0,0,5.62869213789003,0.05,0.03,1.5,1.0
11,507.00147653822717,5) $500 - $750,Suburban,Web,0,Mens E-Mail,1,0,0,9.149752425463992,0.05,0.03,1.5,1.0
3,777.4930488237351,6) $750+,Rural,Web,1,Mens E-Mail,1,0,1,9.483802950236687,0.05,0.03,1.5,1.0
1,366.5047288539233,4) $350 - $500,Urban,Web,1,Womens E-Mail,2,0,0,3.958404423194393,0.05,0.03,1.5,1.0
3,95.22874717352038,1) $0 - $100,Urban,Web,0,Womens E-Mail,2,0,0,2.711326943369218,0.05,0.03,1.5,1.0
5,382.4688333155575,4) $350 - $500,Suburban,Phone,0,Mens E-Mail,1,0,0,7.389611905749667,0.05,0.03,1.5,1.0
3,356.3400268774885,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,0,0,5.701370361320304,0.05,0.03,1.5,1.0
1,114.84587060619282,2) $100 - $200,Suburban,Web,0,Womens E-Mail,2,0,0,2.3981806735634406,0.05,0.03,1.5,1.0
5,201.04147606678785,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,6.467834775833767,0.05,0.03,1.5,1.0
10,233.9300127501904,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,1,0,6.829745630092313,0.05,0.03,1.5,1.0
7,353.0570310143419,4) $350 - $500,Suburban,Web,0,Womens E-Mail,2,0,0,7.430376234384363,0.05,0.03,1.5,1.0
7,162.64471431640345,2) $100 - $200,Suburban,Phone,0,Mens E-Mail,1,0,1,3.916188638894658,0.05,0.03,1.5,1.0
11,144.1984823665727,2) $100 - $200,Rural,Web,1,Mens E-Mail,1,0,0,6.586092636446942,0.05,0.03,1.5,1.0
9,124.09099295940342,2) $100 - $200,Suburban,Web,1,Mens E-Mail,1,0,0,6.056221365312501,0.05,0.03,1.5,1.0
10,19.1446530872442,1) $0 - $100,Urban,Web,0,Mens E-Mail,1,1,0,6.2001712803411015,0.05,0.03,1.5,1.0
10,394.24066492225,4) $350 - $500,Suburban,Web,0,Mens E-Mail,1,0,0,8.410348596646793,0.05,0.03,1.5,1.0
12,312.40607248728156,3) $200 - $350,Rural,Phone,0,Womens E-Mail,2,0,0,8.809946880508734,0.05,0.03,1.5,1.0
3,418.41035780794084,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,0,0,5.526234303719419,0.05,0.03,1.5,1.0
7,192.827761642298,2) $100 - $200,Urban,Web,0,Mens E-Mail,1,0,0,5.6190745973989555,0.05,0.03,1.5,1.0
1,188.14774649240022,2) $100 - $200,Rural,Web,0,Mens E-Mail,1,0,0,6.981100474853867,0.05,0.03,1.5,1.0
4,351.38602191066644,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,0,0,3.655124172009817,0.05,0.03,1.5,1.0
4,433.41296201007157,4) $350 - $500,Suburban,Web,0,Womens E-Mail,2,0,0,5.653567927911694,0.05,0.03,1.5,1.0
5,447.7192492234547,4) $350 - $500,Urban,Phone,0,Mens E-Mail,1,0,0,7.711212009647308,0.05,0.03,1.5,1.0
7,132.64380649557464,2) $100 - $200,Urban,Web,1,Womens E-Mail,2,1,0,5.557036503220327,0.05,0.03,1.5,1.0
7,441.9457581596546,4) $350 - $500,Urban,Phone,1,Womens E-Mail,2,0,0,7.868706460492743,0.05,0.03,1.5,1.0
11,525.6039847222038,5) $500 - $750,Rural,Phone,0,Mens E-Mail,1,0,0,9.845939043921028,0.05,0.03,1.5,1.0
4,363.2771043956748,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,1,0,6.227952277298862,0.05,0.03,1.5,1.0
7,473.6548758297652,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,0,0,8.450800175025375,0.05,0.03,1.5,1.0
11,378.51811681018887,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,1,0,10.869354642041236,0.05,0.03,1.5,1.0
3,131.78625238459404,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,3.501525378103149,0.05,0.03,1.5,1.0
6,440.1213967384828,4) $350 - $500,Rural,Web,0,Womens E-Mail,2,1,0,7.766623643494077,0.05,0.03,1.5,1.0
12,358.21494856187417,4) $350 - $500,Urban,Web,1,Womens E-Mail,2,0,0,9.105681854663647,0.05,0.03,1.5,1.0
2,146.9658242129417,2) $100 - $200,Suburban,Phone,1,Womens E-Mail,2,0,0,2.753462144638211,0.05,0.03,1.5,1.0
10,214.80282967096713,3) $200 - $350,Urban,Web,0,Womens E-Mail,2,0,0,4.7923651874053075,0.05,0.03,1.5,1.0
9,361.87335521193296,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,0,0,7.863985732289754,0.05,0.03,1.5,1.0
5,659.5968316555835,5) $500 - $750,Suburban,Web,0,Womens E-Mail,2,0,0,10.786645412961681,0.05,0.03,1.5,1.0
6,569.9603229600915,5) $500 - $750,Rural,Phone,1,Mens E-Mail,1,0,0,9.64367087219538,0.05,0.03,1.5,1.0
12,0.04102212406398298,1) $0 - $100,Suburban,Web,0,Womens E-Mail,2,0,0,4.807184783750031,0.05,0.03,1.5,1.0
12,300.12356341531716,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,8.22488972660517,0.05,0.03,1.5,1.0
12,523.297454293116,5) $500 - $750,Urban,Web,0,Mens E-Mail,1,0,0,9.881101014077652,0.05,0.03,1.5,1.0
12,239.45401478504797,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,7.008570899954785,0.05,0.03,1.5,1.0
4,224.21423671502566,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,0,0,4.778613484179759,0.05,0.03,1.5,1.0
11,219.19887595056147,3) $200 - $350,Urban,Web,0,Mens E-Mail,1,0,0,7.876545155898441,0.05,0.03,1.5,1.0
10,426.726216308126,4) $350 - $500,Suburban,Web,0,Womens E-Mail,2,0,0,7.82762376551663,0.05,0.03,1.5,1.0
7,357.67368034318764,4) $350 - $500,Urban,Phone,0,Womens E-Mail,2,0,0,5.31761093009999,0.05,0.03,1.5,1.0
12,379.953532029292,4) $350 - $500,Rural,Web,1,Mens E-Mail,1,0,0,9.215345194188274,0.05,0.03,1.5,1.0
9,270.51121133678726,3) $200 - $350,Rural,Phone,0,Womens E-Mail,2,0,0,6.62895113591599,0.05,0.03,1.5,1.0
7,562.3777274092284,5) $500 - $750,Suburban,Phone,0,Womens E-Mail,2,1,0,9.469760401857483,0.05,0.03,1.5,1.0
1,252.9915057318644,3) $200 - $350,Rural,Web,0,Mens E-Mail,1,0,0,5.688593257359929,0.05,0.03,1.5,1.0
1,431.98558975515897,4) $350 - $500,Rural,Web,0,Womens E-Mail,2,0,0,5.548744603505313,0.05,0.03,1.5,1.0
9,11.3881861868941,1) $0 - $100,Urban,Web,0,Mens E-Mail,1,0,0,7.50548696594522,0.05,0.03,1.5,1.0
11,294.2932422556084,3) $200 - $350,Rural,Web,0,Mens E-Mail,1,0,0,7.837423018457945,0.05,0.03,1.5,1.0
9,229.50912171517376,3) $200 - $350,Suburban,Phone,0,Mens E-Mail,1,0,0,6.521595316653577,0.05,0.03,1.5,1.0
4,315.4880795791847,3) $200 - $350,Rural,Web,0,Womens E-Mail,2,0,0,5.518349473886574,0.05,0.03,1.5,1.0
9,56.42681600173064,1) $0 - $100,Urban,Web,0,Womens E-Mail,2,0,0,3.799554325279348,0.05,0.03,1.5,1.0
3,545.27649180853,5) $500 - $750,Rural,Phone,0,Womens E-Mail,2,0,0,6.598219183671663,0.05,0.03,1.5,1.0
7,325.0288544792311,3) $200 - $350,Urban,Phone,1,Mens E-Mail,1,0,0,6.188011392490811,0.05,0.03,1.5,1.0
6,637.4054156342302,5) $500 - $750,Rural,Phone,1,Womens E-Mail,2,1,0,8.535463958072196,0.05,0.03,1.5,1.0
8,417.64136103533434,4) $350 - $500,Suburban,Web,1,Mens E-Mail,1,0,0,7.432606568139747,0.05,0.03,1.5,1.0
11,339.73661925468656,3) $200 - $350,Urban,Web,0,Mens E-Mail,1,0,0,6.672123595261779,0.05,0.03,1.5,1.0
9,302.4023432723513,3) $200 - $350,Suburban,Phone,0,Mens E-Mail,1,0,0,7.153977152962841,0.05,0.03,1.5,1.0
5,399.6866822003316,4) $350 - $500,Suburban,Phone,1,Mens E-Mail,1,0,0,6.686743854539385,0.05,0.03,1.5,1.0
1,413.71457869794943,4) $350 - $500,Rural,Web,0,Mens E-Mail,1,0,0,4.855758482518581,0.05,0.03,1.5,1.0
3,375.6813376621562,4) $350 - $500,Urban,Web,0,Womens E-Mail,2,0,0,6.257759220938021,0.05,0.03,1.5,1.0
10,639.4758136153683,5) $500 - $750,Suburban,Web,0,Mens E-Mail,1,0,0,9.18026143409674,0.05,0.03,1.5,1.0
12,473.6129802354492,4) $350 - $500,Suburban,Web,0,Womens E-Mail,2,0,0,8.349132958074566,0.05,0.03,1.5,1.0
8,205.08725395683697,3) $200 - $350,Urban,Phone,0,Mens E-Mail,1,0,0,6.630008744478264,0.05,0.03,1.5,1.0
11,180.94116160644862,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,6.235379585781395,0.05,0.03,1.5,1.0
6,366.4345942514362,4) $350 - $500,Urban,Web,0,Mens E-Mail,1,0,0,7.493465311537448,0.05,0.03,1.5,1.0
